Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Cade Cunningham (38022168),Cade Cunningham,38022168,PG/G/UTIL,10200,DET@POR 03/09/2025 09:00PM ET,DET,50.79
PG,James Harden (38021994),James Harden,38021994,PG/G/UTIL,10000,SAC@LAC 03/09/2025 09:30PM ET,LAC,46.42
C,Domantas Sabonis (38022058),Domantas Sabonis,38022058,C/UTIL,9400,SAC@LAC 03/09/2025 09:30PM ET,SAC,49.24
SG/SF,Zach LaVine (38022044),Zach LaVine,38022044,SG/SF/F/G/UTIL,8300,SAC@LAC 03/09/2025 09:30PM ET,SAC,38.77
SF,DeMar DeRozan (38022004),DeMar DeRozan,38022004,SF/F/UTIL,7900,SAC@LAC 03/09/2025 09:30PM ET,SAC,35.70
SF/PF,Kawhi Leonard (38022007),Kawhi Leonard,38022007,SF/PF/F/UTIL,7800,SAC@LAC 03/09/2025 09:30PM ET,LAC,32.02
C,Ivica Zubac (38022077),Ivica Zubac,38022077,C/UTIL,7700,SAC@LAC 03/09/2025 09:30PM ET,LAC,39.29
PG/SG,Malik Monk (38022094),Malik Monk,38022094,PG/SG/G/UTIL,7600,SAC@LAC 03/09/2025 09:30PM ET,SAC,34.63
C,Jonas Valanciunas (38022026),Jonas Valanciunas,38022026,C/UTIL,7300,SAC@LAC 03/09/2025 09:30PM ET,SAC,26.67
SG/SF,Norman Powell (38022028),Norman Powell,38022028,SG/SF/F/G/UTIL,7000,SAC@LAC 03/09/2025 09:30PM ET,LAC,35.07
PG/SG,Anfernee Simons (38022105),Anfernee Simons,38022105,PG/SG/G/UTIL,7000,DET@POR 03/09/2025 09:00PM ET,POR,32.38
SG/SF,Shaedon Sharpe (38022197),Shaedon Sharpe,38022197,SG/SF/F/G/UTIL,6900,DET@POR 03/09/2025 09:00PM ET,POR,28.64
C,Jalen Duren (38022192),Jalen Duren,38022192,C/UTIL,6700,DET@POR 03/09/2025 09:00PM ET,DET,31.62
