PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
37794,"Jarrett Allen",6100,C,CLE,MIL,121982,956574,-,29,11.74,10.29,1.85,0,0.94,0.7,0.74,13.59,22.03,23.88,1.44,12.14,6.96,4.64,0,3.28,2.45,6.96,4.64,30.24,30.24,30.28,4.96,3.26%,131,134,SUN,38286,2,37794,23.19,38.6,1.98,1.98,12.89,23.03,26.92,30.28,33.64,38.56,40.63,49.17,
37875,"Donovan Mitchell",8400,PG/SG,CLE,MIL,121982,879707,-,33,27.93,4.19,4.97,3.91,2.41,0.99,0.26,32.9,32.12,37.09,1.25,9.16,11.48,5.3,10.29,6.69,5.61,21.77,9.21,41.75,41.75,43.93,5.23,18.1%,131,134,SUN,38278,3,37875,34.07,54.91,18.07,18.07,21.93,33.77,39.61,43.93,48.25,55.1,58.15,71.35,
1115224,"Darius Garland",7100,PG,CLE,MIL,121982,1134262,-,32,19.79,2.96,6.21,2.83,2.27,0.9,0.17,26,22.75,28.96,1.07,9.17,9.07,4.02,7.03,3.81,3.28,16.1,6.85,33.6,33.6,35.36,4.98,8.35%,131,134,SUN,86449,4,1115224,26.44,45.02,7.24,7.24,13.75,26.27,31.32,35.36,39.15,44.96,47.48,59.35,
1115296,"De'Andre Hunter",5500,SF/PF,CLE,MIL,121982,942857,,25,13.14,3.86,1.02,1.81,0.85,0.39,0.24,14.16,17,18.02,0.63,4.88,4.86,2.33,4.49,3.55,3.03,9.35,4.14,20.34,20.34,21.24,3.86,0.05%,131,134,SUN,70224,5,1115296,14.62,29.03,0.17,0.17,2.03,14.59,18.17,21.24,24.31,28.92,30.96,39.67,
1115624,"Ty Jerome",4900,PG,CLE,MIL,121982,942866,,20,12.22,2.97,2.82,1.62,1.23,0.91,0,15.04,15.19,18.01,0.91,5.79,5.24,2.62,3.7,2.36,2.12,8.94,4.24,21.51,21.51,22.18,4.53,0.27%,131,134,SUN,70230,6,1115624,15.26,29.84,0.81,0.81,6.89,15.3,19.12,22.18,24.98,29.83,31.87,39.77,
1144092,"Dean Wade",3500,PF/C,CLE,MIL,121982,880677,,14,3.04,3,1.06,0.84,0.27,0.41,0.17,4.1,6.04,7.1,0.58,4.06,0.43,0.17,2.33,0.33,0.2,2.76,1.01,9.7,9.7,9.83,2.81,0.04%,131,134,SUN,72850,7,1144092,5.36,15.45,0,0,0.07,5.46,7.92,9.83,12.01,15.56,16.93,24.03,
1193058,"Max Strus",4300,SG/SF,CLE,MIL,121982,936502,,25,8.12,3.9,2.53,1.84,0.79,0.65,0.23,10.65,12.02,14.55,0.88,6.43,2.23,0.94,5.09,0.87,0.72,7.32,2.78,18.45,18.45,19.08,4.44,0.25%,131,134,SUN,73900,9,1193058,12.5,26.44,0.9,0.9,5.86,12.38,16.24,19.08,22.17,26.56,28.62,37.13,
2439210,"Isaac Okoro",3700,SG/SF,CLE,MIL,121982,1193432,,13,3.49,1.86,0.58,0.53,0.23,0.34,0.37,4.07,5.35,5.93,0.71,2.44,1.46,0.67,1.36,0.8,0.55,2.82,1.2,8.49,8.49,8.26,2.23,0.27%,131,134,SUN,92179,10,2439210,4.49,13.25,0,0,0,4.53,6.66,8.26,10.13,13.32,14.65,20.78,
2439420,"Sam Merrill",3400,SG,CLE,MIL,121982,953106,,16,4.94,1.99,0.68,1.41,0.3,0.65,0.14,5.62,6.93,7.61,0.79,2.67,0.46,0.2,3.67,0.33,0.31,4.13,1.61,10.42,10.42,10.58,3.11,0.22%,131,134,SUN,72801,11,2439420,5.58,16.47,0.02,0.02,0.31,5.42,8.26,10.58,12.9,16.52,18.06,25.04,
3005190,"Evan Mobley",8200,PF/C,CLE,MIL,121982,1231862,,32,19.3,10.04,3.28,0.88,1.8,0.6,1.61,22.58,29.34,32.62,2.21,13.32,11.3,6.41,2.42,5.22,3.84,13.72,7.29,41.1,41.1,41.4,5.05,14.79%,131,134,SUN,149666,12,3005190,32.36,50.99,11.9,11.9,15.14,32.31,37.36,41.4,45.19,50.99,53.26,63.61,
6412819,"Jaylon Tyson",3000,SG/SF,CLE,MIL,121982,1342747,,1,0.41,0.15,0.09,0.05,0.05,0.03,0.01,0.5,0.56,0.65,0.04,0.24,0.23,0.1,0.15,0.1,0.08,0.38,0.15,0.8,0.8,0.81,0.27,0.04%,131,134,SUN,180082,16,6412819,0,1.62,0,0,0,0.35,0.58,0.81,1.04,1.39,1.48,1.54,
13315,"Klay Thompson",5800,SG/SF,DAL,PHO,121979,457611,,29,18.22,4.29,1.43,3.88,1.97,0.98,0.67,19.65,22.51,23.94,1.65,5.72,6.05,2.52,9.83,1.69,1.53,15.88,6.4,28.49,28.49,30,5.17,0.0%,140,153,SUN,12329,18,13315,21.6,39.42,0,0,0,21.68,26.47,30,33.53,39.83,41.85,52.44,
18566,"Dwight Powell",3400,C,DAL,PHO,121979,552309,,16,3.94,4.06,1.81,0.02,0.38,0.38,0.72,5.75,8,9.81,1.1,5.87,1.67,1.12,0.04,2.39,1.63,1.71,1.14,14.45,14.45,13.75,4.04,0.0%,140,153,SUN,12550,21,18566,9.25,18.68,0,0,0,9.17,11.82,13.75,15.68,18.82,20.02,25.81,
18588,"Spencer Dinwiddie",5700,PG/SG,DAL,PHO,121979,602411,,29,12.84,2.8,5.39,1.91,0.96,0.68,0.23,18.23,15.64,21.03,0.91,8.19,4.85,1.87,5.71,4.17,3.38,10.56,3.78,26.06,26.06,26.77,4.7,0.0%,140,153,SUN,12532,22,18588,19.52,35.26,0,0,0,19.38,23.46,26.77,29.83,35.18,37.48,46.66,
18626,"Dante Exum",4400,PG/SF,DAL,PHO,121979,830636,,21,10.84,2.55,2.62,1.33,0.95,1.03,0.25,13.46,13.39,16.01,1.28,5.17,5.32,2.6,3.02,2.21,1.66,8.34,3.93,20.72,20.72,20.71,4.71,0.0%,140,153,SUN,12564,23,18626,14.58,27.62,0,0,0,14.5,17.95,20.71,23.47,27.61,29.45,37.74,
1203483,"Caleb Martin",4100,SF/PF,DAL,PHO,121979,842969,,17,5.97,3.22,1.46,0.76,0.61,0.78,0.43,7.43,9.19,10.65,1.21,4.68,3.11,1.41,2.09,1.25,0.87,5.2,2.17,15.04,15.04,14.68,3.58,0.0%,140,153,SUN,73187,26,1203483,9.32,20.58,0,0,0,9.18,12.32,14.68,16.78,20.45,22.28,29.88,
2484012,"Naji Marshall",6400,SF/PF,DAL,PHO,121979,1060704,,34,18.5,7.97,2.45,1.9,1.9,1.51,0.2,20.95,26.47,28.92,1.71,10.42,10.06,4.8,5.94,3.86,3.2,16,6.7,34.97,34.97,36.09,5.64,0.0%,140,153,SUN,70165,27,2484012,28.11,45.37,0,0,0,27.83,32.32,36.09,39.86,45.32,47.65,57.32,
3005096,"Kessler Edwards",3800,PF/C,DAL,PHO,121979,1135006,,28,9.23,6.11,1.62,1.63,0.66,0.97,0.49,10.85,15.34,16.96,1.46,7.73,4.19,1.88,4.57,0.74,0.57,8.76,3.51,22.71,22.71,22.78,5.99,0.0%,140,153,SUN,90456,28,3005096,16.24,30.55,0,0,0,16.09,20.06,22.78,26,30.7,32.68,40.86,
3267960,"Brandon Williams",4000,PG,DAL,PHO,121979,1134688,,32,16.79,3.72,4.23,1.69,1.26,0.98,0.46,21.02,20.51,24.74,1.44,7.95,8.59,4.02,4.78,4.83,3.69,13.37,5.71,30.66,30.66,30.9,7.73,0.0%,140,153,SUN,87233,30,3267960,23.1,39.57,0,0,0,22.71,27.2,30.9,34.07,39.35,41.46,52.29,
3588176,"Max Christie",5400,SG,DAL,PHO,121979,1340703,,34,15.41,5.21,3.75,2.46,1.04,1.26,0.41,19.16,20.62,24.37,1.67,8.96,6.13,2.61,6.66,3.37,2.82,12.79,5.07,31.26,31.26,31.66,5.86,0.0%,140,153,SUN,179747,32,3588176,23.43,40.6,0,0,0,23.3,28.11,31.66,35.21,40.78,43.06,54.2,
