player_id,team,opp,pos,name,fpts,proj_own,smash,opto_pct,minutes,ceil,floor,min_exposure,max_exposure,rg_value,salary,custom,rg_id,partner_id
884169,POR,DET,PF,Matisse Thybulle,,0,,,,,,0,0,-19.50,3000,,1115169,884169
551771,DET,POR,SG/SF,Tim Hardaway Jr.,17.75,9.99,3.87,0.52,27,24.93,11.62,0,0,-6.55,4200,,16879,551771
743777,SAC,LAC,SG/SF,Zach LaVine,37.34,13.69,6.6,3.25,38,47.01,28.21,0,0,-3.36,8300,,18622,743777
1061507,POR,DET,C,Deandre Ayton,,0,,,,,,0,0,-31.50,6000,,409301,1061507
395388,LAC,SAC,PG,James Harden,48.49,31.98,14.81,9.57,36.5,59.58,37.54,0,0,0.99,10000,,1037,395388
552523,DET,POR,PF,Tobias Harris,27.75,22.28,9.46,1.99,32,35.51,20.66,0,0,-2.95,5800,,13332,552523
830648,LAC,SAC,SG/SF,Bogdan Bogdanovic,22.04,8.69,5.75,0.96,27,30.05,14.87,0,0,-5.86,5100,,37899,830648
698968,LAC,SAC,PG/SG,Kris Dunn,22.28,12.99,5.87,1.2,29,29.52,15.83,0,0,-4.82,4900,,35215,698968
699826,POR,DET,PF,Jerami Grant,23.82,6.3,5.86,0.6,28,31.78,16.87,0,0,-5.28,5400,,18576,699826
554804,SAC,LAC,SF,Doug McDermott,0.82,0.05,0,0,3,1.64,,0,0,-18.68,3000,,18583,554804
891349,SAC,LAC,C,Skal Labissiere,0.8,0,0,0,1,1.6,,0,0,-18.70,3000,,35233,891349
1134092,LAC,SAC,SG/SF,Jordan Miller,,0,,,,,,0,0,-20.30,3200,,4878391,1134092
1406013,DET,POR,PF,Bobi Klintman,,0,,,,,,0,0,-19.50,3000,,6412875,1406013
1433295,POR,DET,PG/SF,Rayan Rupert,0.94,0.05,0,0,2,1.88,,0,0,-18.56,3000,,4874521,1433295
892925,LAC,SAC,PF,Derrick Jones Jr.,15.3,0.7,0.66,0.06,23,21.75,9.88,0,0,-9.40,4300,,36064,892925
1177050,DET,POR,C,Isaiah Stewart,16.78,17.29,5.79,0.64,19,22.67,11.58,0,0,-4.32,3400,,2439495,1177050
1232182,DET,POR,PG,Cade Cunningham,51.07,42.27,18.06,14.66,36,62.44,40.69,0,0,2.77,10200,,3005207,1232182
1502167,LAC,SAC,SG,Trentyn Flowers,,0,,,,,,0,0,-19.50,3000,,6985238,1502167
1324451,LAC,SAC,PF,Patrick Baldwin Jr.,,0,,,,,,0,0,-19.50,3000,,3588136,1324451
1231161,SAC,LAC,PF,Keegan Murray,26.43,36.67,14.79,6.84,35,34.84,19.4,0,0,-1.87,5200,,3588213,1231161
1189241,LAC,SAC,SG,Seth Lundy,,0,,,,,,0,0,-19.50,3000,,4878162,1189241
1429338,DET,POR,SF/PF,Ausar Thompson,26.76,16.99,7.14,1.9,27,34.46,19.8,0,0,-3.94,5800,,4874246,1429338
1357750,POR,DET,PG,Scoot Henderson,27.16,34.67,14.21,0.91,27,36.16,19.65,0,0,-2.34,5500,,4874522,1357750
1138674,DET,POR,C,Tolu Smith,,0,,,,,,0,0,-19.50,3000,,7032704,1138674
1314104,DET,POR,PF,Simone Fontecchio,6.85,0.05,0,0,9,11.47,3.29,0,0,-14.65,3500,,3622168,1314104
1324323,POR,DET,SG,Bryce McGowens,0.77,0.05,0,0,1,1.54,,0,0,-18.73,3000,,3587852,1324323
1405867,POR,DET,C,Donovan Clingan,26.29,19.29,10.47,1.56,24,33.91,20.03,0,0,-2.41,5300,,6413199,1405867
1257422,POR,DET,SF/PF,Deni Avdija,,0,,,,,,0,0,-33.90,6600,,2439346,1257422
1231210,SAC,LAC,PG/SG,Keon Ellis,25.17,53.66,19.93,7.07,34,33.78,17.6,0,0,-1.13,4700,,3584031,1231210
1231166,POR,DET,SF/PF,Kris Murray,8.79,0.05,0,0,14,13.46,4.72,0,0,-14.31,3900,,4878619,1231166
954390,POR,DET,C,Robert Williams,,0,,,,,,0,0,-21.90,3600,,408780,954390
1501942,DET,POR,SF,Ronald Holland II,9.35,0.05,0,0,11,14.08,5.28,0,0,-12.55,3600,,6412876,1501942
1403624,SAC,LAC,PF/C,Isaac Jones,,0,,,,,,0,0,-19.50,3000,,6448364,1403624
957492,SAC,LAC,PG/SG,Malik Monk,,0,,,,,,0,0,-37.90,7600,,37827,957492
1371494,POR,DET,SG/SF,Shaedon Sharpe,32.98,26.98,9.41,1.16,33,42.2,24.69,0,0,-2.12,6900,,3588077,1371494
1175364,POR,DET,SG/SF,Toumani Camara,28.53,43.27,16.08,2.54,34,36.9,20.82,0,0,-1.37,5600,,4878601,1175364
1138668,POR,DET,PG/SG,Dalano Banton,,0,,,,,,0,0,-19.90,3100,,3005155,1138668
920093,LAC,SAC,C,Ivica Zubac,40.29,39.97,16.48,13.73,34,48.95,32.11,0,0,1.99,7700,,35226,920093
1460155,LAC,SAC,SG,Cam Christie,,0,,,,,,0,0,-19.50,3000,,6412955,1460155
1344765,DET,POR,C,Jalen Duren,36.37,48.66,19.34,12.76,28,44.83,28.35,0,0,2.07,6700,,3587772,1344765
609861,LAC,SAC,SG/SF,Norman Powell,,0,,,,,,0,0,-35.50,7000,,18908,609861
1077488,POR,DET,PF,Justin Minaya,0.56,0.05,0,0,1,1.12,,0,0,-18.94,3000,,4579355,1077488
886391,LAC,SAC,C,Ben Simmons,,0,,,,,,0,0,-28.30,5200,,35184,886391
1134017,SAC,LAC,SG,Mason Jones,,0,,,,,,0,0,-19.50,3000,,2461500,1134017
1432656,POR,DET,SG,Sidy Cissoko,,0,,,,,,0,0,-19.50,3000,,4874560,1432656
1176631,SAC,LAC,PF,Isaiah Crawford,,0,,,,,,0,0,-19.50,3000,,6448365,1176631
1175125,SAC,LAC,SF/PF,Jake LaRavia,17.22,38.27,9.85,2.38,25,23.69,11.63,0,0,-3.48,3300,,3587973,1175125
512591,LAC,SAC,SF/PF,Kawhi Leonard,41.62,58.26,21.56,24.37,35.5,51.12,32.37,0,0,2.92,7800,,13310,512591
1176611,LAC,SAC,PF/C,Kobe Brown,,0,,,,,,0,0,-20.70,3300,,4878392,1176611
948115,POR,DET,C,Duop Reath,16.7,16.69,10.67,0,19,23.38,10.84,0,0,-3.60,3200,,5236297,948115
1182387,DET,POR,PG,Daniss Jenkins,,0,,,,,,0,0,-19.50,3000,,6447997,1182387
1076238,DET,POR,C,Paul Reed,1.16,0.05,0,0,1,2.32,,0,0,-19.14,3200,,2439153,1076238
1340755,SAC,LAC,PG/SG,Devin Carter,8.89,1.7,0.08,0,12,13.93,4.63,0,0,-10.61,3000,,6413219,1340755
845596,SAC,LAC,PF/C,Trey Lyles,17.14,24.68,7.07,1.44,19,23.53,11.48,0,0,-4.36,3500,,18942,845596
457594,SAC,LAC,SF,DeMar DeRozan,39.46,36.67,13.08,11.54,38,48.96,31.07,0,0,0.36,7900,,1053,457594
1174920,DET,POR,PG/SG,Marcus Sasser,1.73,0.05,0,0,2,3.53,,0,0,-18.17,3100,,4878314,1174920
599780,SAC,LAC,C,Jonas Valanciunas,35.23,19.69,8.84,3.54,29,43.71,27.02,0,0,-1.47,7300,,13301,599780
552381,SAC,LAC,PF/C,Jae Crowder,,0,,,,,,0,0,-19.50,3000,,13942,552381
1133934,DET,POR,SF,Ron Harper Jr.,,0,,,,,,0,0,-19.50,3000,,3583585,1133934
1121307,POR,DET,PG/SG,Anfernee Simons,36.65,51.96,19.55,11.41,35,46.91,27.44,0,0,1.15,7000,,409191,1121307
1232517,POR,DET,PF/C,Jabari Walker,18.9,21.28,5.78,0,22,25.56,13.36,0,0,-4.60,4000,,3588078,1232517
456451,LAC,SAC,PF/C,Nicolas Batum,15.31,2.7,1.35,0.39,26,21.53,10.06,0,0,-7.79,3900,,1315,456451
1231418,DET,POR,PG,Jaden Ivey,,0,,,,,,0,0,-19.50,3000,,3587774,1231418
944248,DET,POR,PF,Lindy Waters III,,0,,,,,,0,0,-19.50,3000,,3350175,944248
411562,LAC,SAC,PG,Patty Mills,,0,,,,,,0,0,-19.50,3000,,13977,411562
850111,SAC,LAC,C,Domantas Sabonis,,0,,,,,,0,0,-45.10,9400,,35217,850111
879503,DET,POR,SG/SF,Malik Beasley,26.67,28.28,13.35,3.9,26,36.02,18.31,0,0,-3.23,5600,,35213,879503
883573,LAC,SAC,C,Drew Eubanks,6.37,0.05,0,0,7,10.19,3.45,0,0,-13.53,3100,,570198,883573
944822,LAC,SAC,SG/SF,Amir Coffey,13.71,2.3,1.07,0.09,22,20.25,8.27,0,0,-8.99,3800,,1167676,944822
946824,SAC,LAC,PG,Markelle Fultz,4.37,0,0,0,6,7.64,1.66,0,0,-15.13,3000,,37801,946824
739958,DET,POR,PG/SG,Dennis Schroder,20.68,10.69,5.41,0.72,22,27.79,14.32,0,0,-5.22,4600,,18595,739958
